DIST,TYPE,O_CLOCK,J_NO,J_LEN,WT_ASS,WT_CALC,OD,MAOP,DESP,SMYS,SUTS,WJF,F_PLOT,F_REF,F_INST,F_MARK,F_WELD,F_CALC,COMMENT,R_THRESH,PHHAVG,JNL,VEL_MIN,VEL_MAX,TEM_MIN,TEM_MAX,TOP_MIN,TOP_MAX,WELDCHAN,WELDTYP,WELDPOS,WELDGRAD,LS_POS,LS_Q,LS_HITS,SP_POS,SP_GRAD,SP_SIGNO,SP_HITS,ID,SECAVG,B_ANGLE,B_DIR,B_RADIUS,I_LEN,DID,ADD_COMM,PREV_J_NO,TYPE_ORG,_NullFlags
5.084,COMP-PFIX,12:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,,0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5b400eb3-bf59-413e-9033-0cb46a37be19,0.0,0.0,0.0,0.0,0.0,0.0,,,Attachmnt,b'p'
5.548777494700157,WELD,--:--,50,0.36229151462132503,0.0,24.460269645908795,609.6,0.0,0.0,0.0,0.0,1.0,False,False,False,False,True,True,,8,4.229594581566676,4.620986447404647,5,5,341,341,245,248,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781f6e10-de46-4355-bacb-baf5dbf1a0ed,0.0,0.0,0.0,0.0,0.0,0.0,,,,b'\xf0'
5.7267672523303705,COMP-FLG,--:--,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,iso-flange,0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42e29652-28db-4f89-8187-18fc6e35454a,0.0,0.0,0.0,0.0,0.0,0.0,,,Flange,b'p'
5.911069009321482,WELD,--:--,60,1.231930990678518,8.73,13.094054978013926,609.6,6.0,9.0,358.0,455.0,0.0,False,False,False,False,True,True,nom. wt = 8.73 mm,3,14.28554783069469,1.2490634735219075,4,6,340,341,244,248,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8bb72561-a959-43a7-85d3-96f69a7a8397,0.0,0.0,0.0,0.0,0.0,0.0,,10,AE_Launch,b'0'
6.357,COMP-PFIX,12:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,,0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ff606447-d31b-4b12-94c8-0797e8d0c2cc,0.0,0.0,0.0,0.0,0.0,0.0,,,Attachmnt,b'p'
7.143,WELD-BENB,09:33,70,4.341,8.73,12.927110884437207,609.6,6.0,9.0,358.0,455.0,0.0,False,False,True,False,True,True,,3,14.583436438027489,1.233994560200228,4,6,340,341,244,252,0,longseam,83.5,0.0,83.5,0.0,0.0,0.0,0.0,0.0,0.0,28a52fa0-6193-4f67-ac2e-661652d028f2,0.0,0.0,0.0,0.0,0.0,0.0,,20,AS_Bend,b'0'
11.484,WELD-BENE,09:46,80,2.553000000000001,8.73,10.657013584576225,609.6,6.0,9.0,358.0,455.0,0.0,False,False,True,False,True,True,,2,19.368372562672878,1.4695180730136674,5,6,341,343,247,252,0,longseam,77.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,84b8481c-b201-4d04-b152-77a15585be02,0.0,0.0,0.0,0.0,0.0,0.0,,30,AE_Bend,b'0'
13.918,MARK-AGM,--:--,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,False,[MFL] Launcher 13.2m DS Valve,0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdfebed5-5dbd-46b6-b358-22dd86237140,0.0,0.0,0.0,0.0,0.0,0.0,,,AGM,b'p'
14.037,WELD-BENB,08:38,90,4.377999999999998,8.73,13.064262363561145,609.6,6.0,9.0,358.0,455.0,0.0,False,False,True,False,True,True,,3,14.336691140148124,0.908580912963313,5,6,341,343,234,251,0,longseam,111.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,7592a459-75d9-4140-87c4-3b3427132e8c,0.0,0.0,0.0,0.0,0.0,0.0,,40,AS_Bend,b'0'
18.415,WELD-BENE,--:--,100,1.2476035139822272,8.73,16.0432609074619,609.6,6.0,9.0,358.0,455.0,0.0,False,False,True,False,True,True,,4,10.170751464182528,4.5442286307641595,5,6,341,343,234,251,0,,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,64331206-0957-45ec-ab9a-648e3eefc89e,0.0,0.0,0.0,0.0,0.0,0.0,,50,AE_Bend,b'0'
