ID,DISTANCE,LENGTH,ANGLE,WIDTH,TYPE,COMMENT,TOOLSIGPOS,SP_DIST,SP_ANGLE,SP_DEPTH,AFF_SUR,ANOM_NBR,VELOCITY,EFF_AREA,EFF_LENGTH,CR_DIST,CR_LENGTH,CR_PIPEPOS,CR_WIDTH,GEOFACTOR,LW_CORR,PHH_AMPL,PHH_MED,PHH_WT,THRESHOLD,MAX_SEC_CH,O_DIST,O_LENGTH,O_ANGLE,O_WIDTH,O_SP_DIST,O_SP_ANGLE,O_SP_DEPTH,O_AFF_SUR,O_CR_LENGT,O_CR_WIDTH,O_PHH_AMPL,EVA_DEPTH,MLOC_CLASS,ALOC_CLASS,TOUCHCLASS,_NullFlags,Predictions,Predicted_Class
b6f1b420-dd3a-4d6c-8d45-39e510e82039,-1.446891935727202,14.399999999999999,106.15242734924344,14.706938056833966,MELO-NOTC,,170.49,-1.4460000000001156,113.44000000000001,70.0,3,0001-0000055,0.0031573076266795397,46.15983606557377,14.399999999999968,-1.4463716398864017,6.0,109.39134852735747,8.170521142685537,115.0,1.090000033378601,19.140003204345703,57.64999771118164,64.14772033691406,0.9374752640724182,-33.0,-1.446891935727202,14.399999999999999,106.15242734924344,14.706938056833966,-1.4460000000001156,113.44000000000001,61.0,3,0.0,0.0,0.0,0.0,--J--,--J--,R-R,b'\x00\x00\x0f',0.43,ANOM-CORR
f25c23de-ef3c-4c3f-879f-5e46b8650371,-1.44643758153861,14.399999999999999,129.4310448513725,14.706938056833966,MELO-NOTC,,189.51,-1.4455000000001157,132.45999999999998,92.0,3,0001-0000056,0.0031573076266795397,68.17283950617283,13.562790697674389,-1.4458906589744882,6.0,130.77724713965137,8.170521142685537,115.0,1.090000033378601,26.482496738433838,53.52000045776367,64.14772033691406,0.9374752640724182,56.0,-1.44643758153861,14.399999999999999,129.4310448513725,14.706938056833966,-1.4455000000001157,132.45999999999998,86.0,1,0.0,0.0,0.0,0.0,--J--,--J--,R-R,b'\x00\x00\x0f',0.31,ANOM-CORR
1b96140f-c11c-45e8-8118-befaa76aba17,-1.4468164176428793,14.399999999999999,63.2882184486849,24.555267288325293,MELO-NOTC,,144.51,-1.4455000000001157,87.46,24.0,3,0001-0000046,0.0031573076266795397,16.25,14.399999999999968,-1.4460485073512672,6.0,74.0312324714916,13.64181516018072,115.0,1.646722674369812,10.541253089904785,72.37999725341797,64.14772033691406,0.9374752640724182,-3.0,-1.4468164176428793,14.399999999999999,63.2882184486849,24.555267288325293,-1.4455000000001157,87.46,20.0,3,0.0,0.0,0.0,0.0,--J--,--J--,R-R,b'\x00\x00\x0f',0.26,ANOM-CORR
601e1a13-c794-4da5-8b63-e1867529904c,-1.4473408599103779,14.399999999999999,24.479063842980608,14.706938056833966,MELO-NOTC,,95.6,-1.4445136207155775,38.339999999999996,7.0,3,0001-0000038,0.005675622262060642,10.0,14.399999999999968,-1.4456916370467443,6.0,30.639479912767,8.170521142685537,115.0,1.0053675174713135,2.0270447596124797,79.77999877929688,64.14772033691406,0.9374752640724182,-3.0,-1.4473408599103779,14.399999999999999,24.479063842980608,14.706938056833966,-1.4445136207155775,38.339999999999996,6.0,3,0.0,0.0,0.0,0.0,--J--,--J--,R-R,b'\x00\x00\x0f',0.24,ANOM-CORR
635ff5f2-428d-44a8-9733-178bfc90df18,-1.4729249455320377,91.82597351074219,157.95288570446502,26.256103901706403,MELO-NOTC,,219.4,-1.4445013740875605,162.14000000000001,114.0,3,0001-0000052,0.005675622262060642,95.0,45.91298675537114,-1.4563445288560926,38.26082229614258,159.81382539136945,14.58672438983689,115.0,0.6399999856948853,20.431893836534712,39.41999816894531,64.14772033691406,0.9374752640724182,70.0,-1.4729249455320377,91.82597351074219,157.95288570446502,26.256103901706403,-1.4445013740875605,162.14000000000001,95.0,1,0.0,0.0,0.0,0.0,--J--,--J--,R-R,b'\x00\x00\x0f',0.45,ANOM-CORR
d0c36588-7c9f-4921-b2bb-b419a3a1a1fb,-1.4454371141102351,14.399999999999999,95.46668148339106,14.706938056833966,MELO-NOTC,,166.59,-1.4445013598874241,109.33000000000001,74.0,3,0001-0000047,0.005675622262060642,49.13461538461538,14.399999999999968,-1.4448912574802621,6.0,101.6281563796617,8.170521142685537,115.0,1.090000033378601,20.645637822535363,53.79999923706055,64.14772033691406,0.9374752640724182,-7.0,-1.4454371141102351,14.399999999999999,95.46668148339106,14.706938056833966,-1.4445013598874241,109.33000000000001,65.0,3,0.0,0.0,0.0,0.0,--J--,--J--,R-R,b'\x00\x00\x0f',0.28,ANOM-CORR
ff53f50c-3cb4-4052-b9bf-b2f5b6a69d53,-1.4454369003869096,14.399999999999999,135.59360486011244,14.984735510756725,MELO-NOTC,,193.41,-1.4445011239168197,136.15,88.0,3,0001-0000050,0.005675622262060642,60.66197183098592,13.452631578947338,-1.4448910307793572,6.0,135.84089158895137,8.324853061531513,115.0,1.090000033378601,24.98813555936829,45.45000076293945,64.14772033691406,0.9374752640724182,-58.0,-1.4454369003869096,14.399999999999999,135.59360486011244,14.984735510756725,-1.4445011239168197,136.15,76.0,3,0.0,0.0,0.0,0.0,--J--,--J--,R-R,b'\x00\x00\x0f',0.85,ANOM-MELO
92323212-8c84-4469-89c5-f673eed65a51,-1.4454357856875735,14.399999999999997,110.95249443625254,17.893399693114997,MELO-NOTC,,185.6,-1.4445000000001158,128.34,81.0,3,0001-0000049,0.005675622262060642,53.602112676056336,14.399999999999968,-1.4448899107032231,6.0,118.68027468680697,9.940777607286112,115.0,1.2599999904632568,26.471248626708984,53.62999725341797,64.14772033691406,0.9374752640724182,-46.0,-1.4454357856875735,14.399999999999997,110.95249443625254,17.893399693114997,-1.4445000000001158,128.34,71.0,3,0.0,0.0,0.0,0.0,--J--,--J--,R-R,b'\x00\x00\x0f',0.77,ANOM-MELO
9585b74d-36e5-4f31-b86b-f38628d7d4b1,-0.8987430393989958,102.11300354003907,299.526530971583,14.706938056833966,MELO-NOTC,,9.51,-0.8227499952318112,306.88,56.0,3,0001-0000062,0.4476017355918884,32.06060606060607,88.67708202161285,-0.8544137636348048,42.54708480834961,302.79473942865724,8.170521142685537,115.0,0.3986802399158478,6.236249804499039,55.119998931884766,66.23454284667969,0.9381144642829895,175.0,-0.8987430393989958,102.11300354003907,299.526530971583,14.706938056833966,-0.8227499952318112,306.88,38.0,1,0.0,0.0,0.0,0.0,--J--,--J--,R-R,b'\x00\x00\x0f',0.52,ANOM-MELO
6e7586e7-df5d-47c6-a6b1-579f59ccdd6d,-0.7494869651415398,14.399999999999999,8.444567424635846,14.706938056833966,MELO-NOTC,,84.4,-0.7422821780715214,21.040000000000006,8.0,3,0001-0000078,0.18330246210098267,10.0,14.399999999999968,-0.745284172684029,6.0,14.042537458131028,8.170521142685537,115.0,1.0303810834884644,1.7562635533892816,27.744998931884766,25.966766357421875,0.7392371892929077,-136.0,-0.7494869651415398,14.399999999999999,8.444567424635846,14.706938056833966,-0.7422821780715214,21.040000000000006,7.0,3,0.0,0.0,0.0,0.0,--J--,--J--,R-R,b'\x00\x00\x0f',0.95,ANOM-MELO
